,aai_pair,euclidean,standard_euclidean,manhattan,chebyshev,cosine,pearson,spearman,M
154,"(1, 16)",67.06308548,2.072755051,325.1563804,23.69121554,0.022137386,0.947605933,0.947888051,-1
18,"(5, 23)",167.9510902,8.73043991,1075.937901,40.6030303,0.187039119,0.153104655,0.159399161,1
107,"(12, 15)",8.895639982,1.308193335,41.63618189,4.23030303,0.007808137,0.978607877,0.977161193,-1
6,"(5, 17)",180.2096968,8.564223672,1147.598214,42.26666667,0.205321408,0.166523556,0.085406473,1
23,"(5, 24)",142.720928,8.582954149,829.4478712,38.37575758,0.241675868,0.101620708,0.096850323,1
32,"(5, 19)",173.6384117,8.307066001,1102.269643,40.1,0.203256889,0.215825619,0.103415147,1
169,"(2, 14)",28.5407378,2.095871934,143.4241007,9.155501253,0.021053953,0.951192454,0.948057172,-1
5,"(8, 9)",1.150585454,1.618100818,6.076073576,0.339736842,0.020101822,0.967271872,0.987388694,1
91,"(2, 11)",15.27950549,3.361135532,71.8952381,6.233333333,0.058251027,0.874475199,0.918207896,-1
245,"(5, 12)",163.99306,7.355350613,1006.154167,44.33333333,0.209669518,0.34022948,0.313421052,1
129,"(10, 24)",69.75621223,2.198777248,341.0119048,23.88095238,0.024115055,0.941041203,0.939543787,-1
220,"(1, 11)",14.50779451,3.265650841,66.81428571,6.297435897,0.05730774,0.869945422,0.907149448,-1
112,"(20, 24)",1.824810931,0.060854955,8.66215693,0.711444051,1.88E-05,0.999954837,0.999823882,-1
173,"(23, 24)",46.70638837,0.479168013,226.5005593,16.33788018,0.001187555,0.997199976,0.98802074,-1
74,"(5, 21)",161.2584432,7.226718604,988.946615,43.00553221,0.204842322,0.363104125,0.326100764,1
259,"(5, 14)",167.3590368,8.191628157,1033.248308,40.2952381,0.230136372,0.181673514,0.180887418,1
182,"(0, 20)",76.3542964,1.895383261,386.9737024,24.11428571,0.017055522,0.960083581,0.947364982,-1
196,"(4, 15)",27.2564934,3.230947307,136.694617,8.441846282,0.051790425,0.884010883,0.904002637,-1
136,"(0, 20)",69.70961699,1.956869366,340.4854247,24.11428571,0.019174755,0.95330076,0.956085174,-1
158,"(3, 11)",14.16982918,3.435347596,64.7,6.519047619,0.065621418,0.856077889,0.899594285,-1
176,"(15, 19)",4.743763621,0.342851251,23.7110975,1.692280702,0.000696396,0.9985665,0.994278562,-1
27,"(5, 15)",170.0458939,8.186138032,1051.886088,40.68095238,0.237668637,0.18277005,0.144215079,1
164,"(9, 20)",76.40439304,1.921671209,387.5738095,23.88095238,0.018381077,0.958968664,0.97381163,-1
180,"(17, 18)",9.954290942,0.577375378,53.45,3.028571429,0.001243028,0.996295974,0.993754568,-1
83,"(5, 20)",141.7586987,8.559038403,820.7857143,38.26666667,0.240932696,0.106620264,0.099412968,1
186,"(10, 12)",15.89693597,2.30751653,77.41215693,5.461833077,0.026616103,0.935065457,0.936853037,-1
104,"(0, 7)",14.56301402,1.248766311,74.77059715,4.162715666,0.006750657,0.980507284,0.967558617,-1
94,"(0, 24)",66.42590831,2.066471939,322.4168108,23.51356375,0.021947915,0.947923094,0.946657761,-1
111,"(21, 24)",55.08901994,0.262091014,279.4625,17.23571429,0.000326995,0.999236759,0.995106369,-1
4,"(8, 12)",15.12155623,3.755623226,77.64809739,4.333333333,0.082957905,0.823691177,0.955882431,1
204,"(10, 18)",28.89733651,1.203072137,139.8097102,9.945960061,0.007525579,0.982348993,0.971626255,-1
229,"(7, 15)",9.359847821,2.327981865,35.70378345,5.126766917,0.028564546,0.933908542,0.925122741,-1
148,"(9, 10)",1.996051658,1.009491112,9.808860808,0.711444051,0.005132603,0.988676974,0.98778291,-1
131,"(6, 22)",25.68396263,1.387489018,126.0997478,8.744516129,0.00995557,0.976522856,0.993868631,-1
86,"(3, 8)",1.379447222,3.662537475,6.6007489,0.666666667,0.07856325,0.832322741,0.916718716,1
76,"(1, 5)",190.3429102,9.564901198,1233.59798,41.84615385,0.270568881,-0.016525944,-0.02407473,1
43,"(5, 8)",175.476093,6.436005408,1079.06587,48.20075758,0.246467611,0.494851639,0.353867817,1
166,"(0, 7)",14.34433192,1.23606223,70.566402,4.162715666,0.007751349,0.981367685,0.957476372,-1
189,"(8, 13)",19.43351305,3.044599254,95.1547619,6.645238095,0.059296509,0.886956285,0.982110118,-1
151,"(2, 22)",24.55141379,2.110958161,125.0151236,8.380182073,0.019294275,0.944298196,0.932146618,-1
210,"(8, 18)",28.26059019,2.551403897,137.2212268,9.768308271,0.044283795,0.92061388,0.995435798,-1
44,"(5, 13)",173.230839,8.400853886,1072.855451,40.8952381,0.237432342,0.139337244,0.135643472,1
108,"(1, 16)",67.34885838,2.14388198,344.412166,19.78495671,0.01996872,0.942547126,0.913408882,-1
59,"(5, 16)",142.4490897,8.563603301,826.9983078,38.3952381,0.241941589,0.105667055,0.098882766,1
30,"(5, 20)",143.4207769,9.051637789,857.0547619,37.17142857,0.253896314,0.089642815,0.093991267,1
227,"(21, 23)",3.079643709,0.202499866,15.44484615,0.93534632,0.000195227,0.999544376,0.996057908,-1
235,"(9, 12)",15.42569965,2.080466871,78.19702381,4.845238095,0.021491398,0.951907307,0.971090726,-1
53,"(5, 19)",161.3770061,8.524238451,1029.013095,40.16666667,0.184244506,0.19263732,0.196338009,1
183,"(1, 20)",76.38343687,1.9053257,387.1289322,24.11428571,0.017245057,0.959663711,0.951196091,-1
128,"(6, 7)",14.6494242,2.849934478,71.87857143,4.438095238,0.043372809,0.900949676,0.918960122,-1
175,"(3, 15)",23.03991506,1.896167291,110.8091496,7.886290727,0.018675409,0.956153044,0.943403093,-1
211,"(4, 17)",23.70880693,3.014794564,120.0196429,7.434126984,0.044750513,0.899011264,0.913796226,-1
221,"(1, 8)",1.611883149,3.757700159,7.986318886,0.666666667,0.082794957,0.823496119,0.925982864,1
177,"(3, 6)",0.65086285,2.290632519,2.754761905,0.295238095,0.026794008,0.936012228,0.938714214,-1
252,"(5, 9)",190.286832,8.407362062,1234.042857,41.8,0.247984719,0.214625146,0.146410687,1
206,"(4, 6)",2.100263108,3.94387473,10.17557823,0.931292517,0.073526262,0.805573151,0.898866897,-1
257,"(5, 14)",169.8788498,8.768859101,1088.109233,40.00194805,0.248466374,0.145634556,0.117370835,1
171,"(15, 18)",4.743763621,0.342851251,23.7110975,1.692280702,0.000696396,0.9985665,0.994278562,-1
16,"(8, 20)",69.88848846,3.577982012,358.304645,19.93409091,0.076295774,0.839975559,0.971203788,1
172,"(1, 13)",19.95844291,1.849562267,100.6173186,6.455501253,0.016316419,0.961990216,0.957939747,-1
72,"(5, 8)",196.1643283,7.081595708,1257.676613,48.20075758,0.265995513,0.430125025,0.141912511,1
201,"(7, 24)",55.12119295,2.421751795,265.2259383,20.75403994,0.029238998,0.928477052,0.934573055,-1
41,"(5, 22)",163.000341,8.56547808,1040.744297,40.27575758,0.184642005,0.184806503,0.196338009,1
110,"(8, 15)",23.93842762,2.443312209,116.1241241,8.076027569,0.039635842,0.927197871,0.987045344,-1
88,"(2, 12)",13.30936961,2.038529035,67.79583333,3.952380952,0.017902844,0.948054992,0.918287819,-1
194,"(9, 21)",17.65923815,1.947091693,86.49260497,6.044516129,0.019507182,0.953766268,0.975775826,-1
217,"(17, 22)",6.305912445,0.376732719,30.06945643,2.361134454,0.000738685,0.998269176,0.99575306,-1
223,"(19, 21)",9.992851373,0.657958528,48.26929979,3.74001548,0.002182466,0.994720617,0.989256781,-1
60,"(5, 17)",168.8595925,8.738266604,1082.463095,40.76666667,0.188913588,0.151585519,0.156521678,1
99,"(8, 16)",76.40439304,3.36190039,387.5738095,23.88095238,0.063949056,0.874418064,0.986976941,-1
98,"(3, 7)",14.85882259,1.856691764,76.31666667,4.257142857,0.015472908,0.956908696,0.955527672,-1
118,"(12, 22)",11.79428267,0.968102286,57.34974783,4.336174996,0.004761625,0.988570463,0.979173089,-1
100,"(17, 19)",8.169889341,0.483756403,39.60714286,3.028571429,0.001181156,0.997146094,0.994760249,-1
255,"(5, 15)",157.4632023,6.977206268,965.5557404,40.1030303,0.206436394,0.406324301,0.34387022,1
47,"(5, 17)",175.0807796,8.929237117,1125.931548,40.49285714,0.250714268,0.114096939,0.112505723,1
33,"(5, 16)",144.0574021,9.049987261,862.7368425,37.28051948,0.254098978,0.089974784,0.093991267,1
232,"(5, 19)",168.9677648,8.784066903,1081.060119,39.89285714,0.248155227,0.14266854,0.11365443,1
51,"(3, 5)",190.548325,9.574012233,1235.033333,41.85714286,0.275853475,-0.018463447,-0.020653422,1
149,"(4, 19)",29.23284747,3.255582776,141.3848243,10.13412698,0.056746374,0.870746107,0.92583885,-1
130,"(15, 17)",3.729947543,0.707536728,15.25999141,2.163636364,0.00242693,0.993742397,0.996979992,-1
2,"(2, 5)",190.0495403,9.563860847,1231.533333,41.83333333,0.270598441,-0.016304826,-0.026416942,1
218,"(14, 23)",6.160042434,0.524703668,28.43603418,2.593828153,0.001430852,0.996642513,0.999823882,-1
12,"(5, 11)",163.594238,6.014836768,1008.657143,41.76666667,0.193772822,0.558801691,0.476429758,1
34,"(1, 5)",195.2360616,9.114768644,1250.404595,48.28571429,0.220997972,0.05592037,-0.065945222,1
241,"(7, 15)",8.772820514,2.23174783,36.62011046,4.568398268,0.022259609,0.93774127,0.908344571,-1
55,"(5, 11)",175.7034349,7.03227317,1094.585714,40.6,0.22136198,0.396916269,0.279891395,1
249,"(5, 7)",163.5292839,7.808767783,1001.259524,44.67142857,0.216264516,0.256379826,0.25311892,1
237,"(6, 12)",14.1454351,2.345271324,68.75,4.928571429,0.028370074,0.9329232,0.963815232,-1
225,"(5, 9)",171.7825229,7.565149188,1053.811905,47.96666667,0.193238889,0.284606472,0.10118796,-1
68,"(5, 8)",187.5070738,7.380916764,1168.010213,41.92857143,0.275681037,0.335634972,0.191112789,1
234,"(3, 13)",18.49978444,1.892129615,89.83978741,6.455501253,0.018042683,0.95633958,0.948083022,-1
7,"(5, 7)",173.9862262,9.094728213,1117.75,41.04047619,0.192089428,0.080954653,0.078428987,1
71,"(8, 10)",0.778464889,2.473951938,2.71612465,0.504774637,0.042206979,0.923494523,0.960193347,1
153,"(20, 23)",48.83137273,0.510780174,249.600815,13.85546218,0.001124,0.996738795,0.986598716,-1
42,"(5, 11)",178.9559985,7.700170775,1159.638095,40.6,0.242501772,0.341193,0.241236684,1
121,"(2, 20)",69.37988393,2.169520457,338.797619,24.11428571,0.02355889,0.942599768,0.952981743,-1
3,"(5, 15)",177.3422106,8.177158699,1129.41419,40.58,0.209594165,0.24015995,0.097256073,1
95,"(9, 13)",19.96135826,1.557307482,101.0621959,6.22216792,0.012148348,0.97305326,0.984423156,-1
29,"(5, 8)",191.3116942,7.917286464,1241.091971,41.90909091,0.27629629,0.3035175,0.146646254,1
117,"(5, 6)",186.9838808,7.985235131,1210.183333,41.8,0.181739539,0.291511332,0.208214863,1
133,"(5, 23)",171.5782371,8.375999953,1061.684342,40.6030303,0.2299459,0.144422254,0.184687203,1
236,"(10, 11)",15.71472406,1.667867242,72.99721023,6.938865546,0.01635368,0.96607584,0.943650693,-1
46,"(6, 8)",1.150585454,1.618100818,6.076073576,0.339736842,0.020101822,0.967271872,0.987388694,1
25,"(5, 6)",186.5407326,7.662255049,1161.797619,41.8,0.22048942,0.284022531,0.200026724,1
199,"(20, 22)",48.20347775,0.710389952,244.3999322,15.13643625,0.002420115,0.994392735,0.988989329,-1
184,"(6, 9)",0,0,0,0,0,1,1,-1
160,"(9, 17)",19.08373567,1.680731512,92.7077381,6.645238095,0.015390524,0.965550507,0.988629115,-1
208,"(15, 21)",5.457452004,0.89539868,23.98117732,2.90250191,0.003803133,0.989978265,0.996224991,-1
179,"(9, 22)",25.17914862,1.535169487,128.7913141,8.061134454,0.011245677,0.970540683,0.98860154,-1
168,"(1, 14)",28.92218116,1.862658661,145.4887471,9.155501253,0.016634637,0.96145003,0.964002226,-1
209,"(10, 12)",15.70557768,2.619674069,80.29320971,4.463364293,0.029470569,0.914216347,0.896866834,-1
63,"(8, 23)",21.07889264,3.204940612,108.70383,6.078628724,0.063644692,0.871604446,0.98614684,1
120,"(18, 23)",7.299243722,0.480894723,34.64862772,2.845776205,0.001177372,0.997179759,0.999471645,-1
197,"(7, 10)",16.14535014,2.712058926,82.34695605,4.853840484,0.035411333,0.918274849,0.903807552,-1
228,"(5, 15)",172.6499738,8.715493717,1109.256573,40.32922078,0.250006496,0.156001881,0.13318245,1
254,"(5, 24)",144.3612549,9.071935644,865.0401409,37.3,0.25444255,0.085555374,0.082774481,1
62,"(5, 9)",195.1707443,7.710391563,1250.890476,47.96666667,0.209161891,0.324430249,0.139272623,1
142,"(1, 4)",2.201410746,1.381063533,10.97261905,0.688888889,0.009576613,0.976739799,0.985615069,-1
127,"(13, 14)",8.169889341,0.501706468,39.60714286,3.028571429,0.001283951,0.996930373,0.988023952,-1
152,"(7, 12)",3.898511121,2.246197851,15.34940476,2.319047619,0.025767357,0.938470673,0.913754518,-1
97,"(5, 21)",173.622935,8.46267863,1075.305014,40.87575758,0.235857535,0.12662281,0.11390517,1
139,"(21, 22)",9.954290942,0.676521648,53.45,3.028571429,0.00169747,0.99491465,0.989369477,-1
22,"(0, 5)",186.9439362,9.368140857,1208.924638,41.84569665,0.205585618,0.024865965,0.018224772,1
219,"(16, 23)",57.6527629,0.540991882,314.9697555,16.51553198,0.001087764,0.996748086,0.988837951,-1
79,"(5, 17)",159.910074,7.171756421,980.4303571,42.26666667,0.204073954,0.372754998,0.333735489,1
19,"(8, 15)",23.5697065,2.49179688,119.2842793,8.097727273,0.040545495,0.922386854,0.98614684,1
205,"(2, 24)",66.07927783,2.183972596,320.5765993,23.51356375,0.024414818,0.941832484,0.925290352,-1
122,"(3, 8)",1.333862298,3.506161671,6.231797588,0.666666667,0.069063987,0.863409226,0.952328574,-1
113,"(4, 5)",173.4686257,9.857977284,1063.987483,48.89795918,0.266250477,-0.214746452,-0.224776788,-1
21,"(3, 5)",187.2319087,9.312553911,1210.971429,41.85714286,0.211385651,0.036403774,0.040759346,1
224,"(12, 16)",54.45283461,0.173030281,266.0493112,18.61264411,0.000152605,0.999634884,0.999427591,-1
20,"(8, 13)",19.12433301,3.13740835,97.94821429,5.7,0.060734304,0.876958361,0.980661415,1
251,"(5, 19)",166.471385,8.193508957,1027.035714,40.16666667,0.228148714,0.181297695,0.178854975,1
26,"(5, 17)",172.3181387,8.393495476,1066.642857,40.76666667,0.234367187,0.140844313,0.149479502,1
